,rxn_id,SMIRKS,condition,class_I,class_II,two_reacs,one_rad,not_spectator,rxn_smiles,HAT,elem_surrogate,no_paton_data,specific_rxn,formal_charges
0,293,"[H:4][CH2:3][C:2](=[CH2:1])[CH:5]=[CH2:6].[Cl:7]>>[H:4][Cl:7].[CH2:6]=[CH:5][C:2](=[CH2:1])[CH2:3] 3,4-4,7;3,4-3;7-4,7",Room Temperature,Propagation,abstraction,True,True,True,C=CC(=C)C.[Cl]>>[CH2]C(=C)C=C.Cl,True,True,True,True,False
42,807,"[H:4][C:3]1([CH2:5][CH2:6][CH2:7][CH2:8][CH:2]1[OH:1])[H:9].[H:11][O:10]>>[H:4][C:3]1[CH2:5][CH2:6][CH2:7][CH2:8][CH:2]1[OH:1].[H:11][O:10][H:9] 3,9-3; 3,9-9,10; 10-9,10",Room Temperature,Propagation,abstraction,True,True,True,OC1CCCCC1.[OH]>>OC1[CH]CCCC1.O,True,True,False,True,False
43,809,"[H:20][C:21]1(O)CCCCC1.[OH:10]>>O[C:21]1CCCCC1.[H:20][OH:10] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OC1CCCCC1.[OH]>>O[C]1CCCCC1.O,True,True,False,True,False
44,811,"[H:20][CH:21](C(=O)C)C(C)(C)O.[OH:10]>>[H:20][OH:10].CC(=O)[CH:21]C(C)(C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)CC(C)(C)O.[OH]>>CC(=O)[CH]C(C)(C)O.O,True,True,False,True,False
45,813,"[H:20][CH2:21]C(C)(CC(=O)C)O.[OH:10]>>[H:20][OH:10].CC(=O)CC(C)([CH2:21])O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)CC(C)(C)O.[OH]>>[CH2]C(C)(O)CC(C)=O.O,True,True,False,True,False
46,815,"[H:20][CH:21](CO)O.[OH:10]>>[H:20][OH:10].C([CH:21]O)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OCCO.[OH]>>O[CH]CO.O,True,True,False,True,False
47,817,"[H:20][C:21](C)(CO)O.[OH:10]>>[H:20][OH:10].C[C:21](CO)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(O)CO.[OH]>>C[C](O)CO.O,True,True,False,True,False
48,819,"[H:20][CH:21](C(C)O)O.[OH:10]>>[H:20][OH:10].CC([CH:21]O)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(O)CO.[OH]>>CC(O)[CH]O.O,True,True,False,True,False
49,822,"[H:20][CH:21]=O.[N+](=O)([O-])[O:10]>>[H:20][O:10][N+](=O)[O-].[CH:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C=O.[O][N+](=O)[O-]>>[CH]=O.O=[N+]([O-])O,True,True,False,True,True
50,824,"[H:20][CH:21]=O.[OH:10]>>[H:20][OH:10].[CH:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C=O.[OH]>>[CH]=O.O,True,True,False,True,False
51,825,"[H:20][C:21](=O)C.[OH:10]>>[H:20][OH:10].C[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC=O.[OH]>>C[C]=O.O,True,True,False,True,False
52,827,"[H:20][C:21](=O)C.[N+](=O)([O-])[O:10]>>[H:20][O:10][N+](=O)[O-].C[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC=O.[O][N+](=O)[O-]>>C[C]=O.O=[N+]([O-])O,True,True,False,True,True
53,828,"[H:20][C:21](=O)CC.[N+](=O)([O-])[O:10]>>[H:20][O:10][N+](=O)[O-].CC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC=O.[O][N+](=O)[O-]>>CC[C]=O.O=[N+]([O-])O,True,True,False,True,True
54,830,"[H:20][C:21](=O)CC.[OH:10]>>[H:20][OH:10].CC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC=O.[OH]>>CC[C]=O.O,True,True,False,True,False
55,831,"[H:20][C:21](=O)CCC.[N+](=O)([O-])[O:10]>>[H:20][O:10][N+](=O)[O-].CCC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC=O.[O][N+](=O)[O-]>>CCC[C]=O.O=[N+]([O-])O,True,True,False,True,True
56,833,"[H:20][C:21](=O)CCC.[OH:10]>>[H:20][OH:10].CCC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC=O.[OH]>>CCC[C]=O.O,True,True,False,True,False
57,834,"[H:20][CH:21](C)CC=O.[OH:10]>>[H:20][OH:10].C[CH:21]CC=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC=O.[OH]>>C[CH]CC=O.O,True,True,False,True,False
58,836,"[H:20][C:21](=O)C(C)C.[N+](=O)([O-])[O:10]>>[H:20][O:10][N+](=O)[O-].CC(C)[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C=O.[O][N+](=O)[O-]>>CC(C)[C]=O.O=[N+]([O-])O,True,True,False,True,True
59,839,"[H:20][C:21](=O)CCCC.[N+](=O)([O-])[O:10]>>[H:20][O:10][N+](=O)[O-].CCCC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC=O.[O][N+](=O)[O-]>>CCCC[C]=O.O=[N+]([O-])O,True,True,False,True,True
60,841,"[H:20][C:21](=O)CCCC.[OH:10]>>[H:20][OH:10].CCCC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC=O.[OH]>>CCCC[C]=O.O,True,True,False,True,False
61,842,"[H:20][CH:21](CC)CC=O.[OH:10]>>[H:20][OH:10].CC[CH:21]CC=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC=O.[OH]>>CC[CH]CC=O.O,True,True,False,True,False
62,844,"[H:20][C:21](=O)C=C.[N+](=O)([O-])[O:10]>>[H:20][O:10][N+](=O)[O-].C=C[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C=CC=O.[O][N+](=O)[O-]>>C=C[C]=O.O=[N+]([O-])O,True,True,False,True,True
63,846,"[H:20][C:21](=O)C=C.[OH:10]>>[H:20][OH:10].C=C[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C=CC=O.[OH]>>C=C[C]=O.O,True,True,False,True,False
64,850,"[H:3][C:2](=[O:1])[C:4](=[CH2:6])[CH3:5].[N+:8](=[O:10])([O-:9])[O:7]>>[H:3][O:7][N+:8](=[O:10])[O-:9].[CH3:5][C:4](=[CH2:6])[C:2]=[O:1] 2,3-2; 2,3-3,7; 7-7,3",Room Temperature,Propagation,abstraction,True,True,True,C=C(C)C=O.[O][N+](=O)[O-]>>C=C(C)[C]=O.O=[N+]([O-])O,True,True,False,True,True
65,852,"[H:20][C:21](=O)C(=C)C.[OH:10]>>[H:20][OH:10].CC(=C)[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C=C(C)C=O.[OH]>>C=C(C)[C]=O.O,True,True,False,True,False
66,856,"[H:20][CH3:21].[Cl:10]>>[H:20][Cl:10].[CH3:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C.[Cl]>>[CH3].Cl,True,True,True,True,False
67,857,"[H:20][CH3:21].[OH:10]>>[H:20][OH:10].[CH3:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C.[OH]>>[CH3].O,True,True,False,True,False
68,859,"[H:20][CH2:21]C.[Cl:10]>>[H:20][Cl:10].C[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC.[Cl]>>[CH2]C.Cl,True,True,True,True,False
69,861,"[H:20][CH2:21]C.[OH:10]>>[H:20][OH:10].C[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC.[OH]>>[CH2]C.O,True,True,False,True,False
70,862,"[H:20][CH2:21]CC.[Cl:10]>>[H:20][Cl:10].CC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC.[Cl]>>[CH2]CC.Cl,True,True,True,True,False
71,864,"[H:20][CH:21](C)C.[Cl:10]>>[H:20][Cl:10].C[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC.[Cl]>>C[CH]C.Cl,True,True,True,True,False
72,866,"[H:20][CH2:21]CC.[OH:10]>>[H:20][OH:10].CC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC.[OH]>>[CH2]CC.O,True,True,False,True,False
73,867,"[H:20][CH:21](C)C.[OH:10]>>[H:20][OH:10].C[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC.[OH]>>C[CH]C.O,True,True,False,True,False
74,868,"[H:20][CH:21](C)CC.[Cl:10]>>[H:20][Cl:10].CC[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC.[Cl]>>C[CH]CC.Cl,True,True,True,True,False
75,869,"[H:20][CH2:21]CCC.[Cl:10]>>[H:20][Cl:10].CCC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC.[Cl]>>[CH2]CCC.Cl,True,True,True,True,False
76,870,"[H:20][CH2:21]CCC.[OH:10]>>[H:20][OH:10].CCC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC.[OH]>>[CH2]CCC.O,True,True,False,True,False
77,871,"[H:20][CH:21](C)CC.[OH:10]>>[H:20][OH:10].CC[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC.[OH]>>C[CH]CC.O,True,True,False,True,False
78,874,"[H:20][CH2:21]C(C)C.[Cl:10]>>[H:20][Cl:10].CC(C)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C.[Cl]>>[CH2]C(C)C.Cl,True,True,True,True,False
79,875,"[H:20][CH2:21]C(C)C.[OH:10]>>[H:20][OH:10].CC(C)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C.[OH]>>[CH2]C(C)C.O,True,True,False,True,False
80,876,"[H:20][C:21](C)(C)C.[Cl:10]>>[H:20][Cl:10].C[C:21](C)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C.[Cl]>>C[C](C)C.Cl,True,True,True,True,False
81,877,"[H:20][C:21](C)(C)C.[OH:10]>>[H:20][OH:10].C[C:21](C)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)C.[OH]>>C[C](C)C.O,True,True,False,True,False
82,880,"[H:20][CH2:21]CCCC.[Cl:10]>>[H:20][Cl:10].CCCC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC.[Cl]>>[CH2]CCCC.Cl,True,True,True,True,False
83,881,"[H:20][CH2:21]CCCC.[OH:10]>>[H:20][OH:10].CCCC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC.[OH]>>[CH2]CCCC.O,True,True,False,True,False
84,883,"[H:20][CH:21](C)CCC.[Cl:10]>>[H:20][Cl:10].CCC[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC.[Cl]>>C[CH]CCC.Cl,True,True,True,True,False
85,884,"[H:20][CH:21](C)CCC.[OH:10]>>[H:20][OH:10].CCC[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC.[OH]>>C[CH]CCC.O,True,True,False,True,False
86,886,"[H:20][CH:21](CC)CC.[Cl:10]>>[H:20][Cl:10].CC[CH:21]CC 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC.[Cl]>>CC[CH]CC.Cl,True,True,True,True,False
87,887,"[H:20][CH:21](CC)CC.[OH:10]>>[H:20][OH:10].CC[CH:21]CC 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC.[OH]>>CC[CH]CC.O,True,True,False,True,False
