Col 1;Col 2;Col 3;Col 4;Col 5;Col 6;Col 7;Col 8
46;C[C@H]1CC[C@@H](C)CC1.CC2CC[C](C)CC2;82.3;-10.5;3.2;13.7;21.5;11.97481098
47;NCCCN.N[CH]CCN;80.1;-12.7;2.6;18.5;20.1;11.26686549
48;C(N(C)C)=O.C(N(C)[CH2])=O;83.6;-9.3;3.7;10.5;19.5;14.47529965
49;CC(N(C)C)=O.CC(N(C)[CH2])=O;83;-9.8;3.3;12.6;21.4;14.39848301
50;O=CN(CC)CC.O=CN([CH]C)CC;81;-11.8;3.2;13.8;21.6;12.74312607
51;CC(N(CC)CC)=O.CC(N(CC)[CH]C)=O;80.8;-12.1;3.1;14.5;21.8;13.32441117
52;CCC(N(C)C)=O.CCC(N(C)[CH2])=O;82.1;-10.7;3.3;13;21.4;13.39005938
53;O=C(N(C)C)C(C)C.O=C(N([CH2])C)C(C)C;82.5;-10.4;3.3;12.9;21.5;13.16600066
54;O=C(N(C)C)C(C)(C)C.O=C(N([CH2])C)C(C)(C)C;83.1;-9.7;3.3;13;20.3;13.76895306
55;O=C(N(C)C)CC(C)(C)C.O=C(N([CH2])C)CC(C)(C)C;82;-10.8;3.3;12.9;21;13.87666515
56;C1CCCCCCC1.C2CCCC[CH]CC2;83.8;-9;3.3;12.6;18.9;13.21533111
57;CC(N(C)CC)=O.CC(N(C)C[CH2])=O;83.7;-9.2;3.3;12.6;20.1;14.55567678
58;NCCCCC.N[CH]CCCC;81.5;-11.4;2.6;18.7;20.5;11.73807028
59;NCCCCO.N[CH]CCCO;81.4;-11.4;2.6;18.4;20.6;12.00789331
60;C1CCOC1.C2CCO[CH]2;83.7;-9.1;2.9;15.8;20.2;12.02696898
1;C.[CH3];96;1.1;4.8;8.7;14.1;17.9781615
2;CCC(C)CC.[CH2]CC(C)CC;90.5;-4.4;3.9;15.1;16.8;14.44214265
3;CCC(C)CC.C[CH]C(C)CC;86.7;-8.2;3.4;18.9;22.6;12.60730341
4;CCC(C)CC.CC[C](C)CC;84.7;-10.2;3.2;20.9;27.8;11.42946714
5;CCC(C)CC.CCC([CH2])CC;90.4;-4.5;3.9;14.9;23.7;15.18825204
6;CC(OCCCC)=O.CC(O[CH]CCC)=O;88.2;-6.7;3.6;16.9;24.3;14.4892059
7;CC(OCCCC)=O.CC(OC[CH]CC)=O;88.4;-6.6;3.8;15.4;24.4;13.90373907
8;CC(OCCCC)=O.CC(OCC[CH]C)=O;87.2;-7.7;3.7;16.3;22.7;13.0584831
9;CC(OCCCC)=O.CC(OCCC[CH2])=O;91.7;-3.2;4.2;12.9;16.9;15.90612348
10;CCOCCCC.CCO[CH]CCC;84.4;-10.5;3;22.2;24.2;9.77911584
11;CC=C.[CH2]C=C;77.5;-17.4;4.2;12.7;17.1;12.29480343
12;CCC=C.C[CH]C=C;73.4;-21.5;3.8;16;19.8;10.72163586
13;CC(C)C=C.C[C](C)C=C;71.2;-23.7;3.6;17.4;21.7;11.42444706
14;CC1=CC=CC=C1.[CH2]C2=CC=CC=C2;81.5;-13.4;4;14.3;17.2;12.30107853
15;CCC1=CC=CC=C1.C[CH]C2=CC=CC=C2;76.7;-18.2;3.7;16.4;21.3;10.47125937
16;CC(C)C1=CC=CC=C1.C[C](C)C2=CC=CC=C2;75.8;-19.1;3.5;18.2;25.1;12.18059661
17;CCCCCC(C)=C.CCCCCC([CH2])=C;78.1;-16.8;4;13.8;20.2;12.43850322
18;CCC(C)=O.CCC([CH2])=O;86.5;-8.4;5.7;4.4;20.5;18.0283623
19;CCC(C)=O.C[CH]C(C)=O;81.8;-13.1;5.1;7.1;21.6;15.82705722
20;CCCCCC(C)=O.CCCCCC([CH2])=O;86.2;-8.7;5.6;4.5;20.5;18.01769463
21;CC(OCCCC)=O.[CH2]C(OCCCC)=O;90;-5;5.6;4.9;19;19.31224776
21;CC#N.[CH2]C#N;87.7;-7.2;5.9;3.4;17;20.10165534
23;CCC#N.C[CH]C#N;81.4;-13.5;5.2;6.4;19.8;16.92143466
24;CC(C)C#N.C[C](C)C#N;76.6;-18.4;4.8;8.9;22.2;14.94415065
25;CC.C[CH2];90.5;-4.4;4;14.5;16.5;14.29232313
26;CCC.C[CH]C;86.6;-8.3;3.4;18.6;19.2;11.77344177
27;CCC.[CH2]CC;91.3;-3.6;4;14;16.5;14.81419835
28;CCC1=CC=CC=C1.[CH2]CC2=CC=CC=C2;91.4;-3.5;4;14.2;16.8;14.96564412
29;O=C(OCC)C1=CC=CC=C1.O=C(OC[CH2])C2=CC=CC=C2;94;-0.9;4.9;8.1;16.8;16.84137129
30;O=C(OCC)C1=CC=CC=C1.O=C(O[CH]C)C2=CC=CC=C2;87.7;-7.2;3.8;15.6;20.5;12.96998474
31;O=C(OCC)CC1=CC=CC=C1.O=C(OCC)[CH]C2=CC=CC=C2;77.8;-17.1;4.7;9.5;21.7;13.19090089
32;COCC1=CC=CC=C1.CO[CH]C2=CC=CC=C2;72.5;-22.4;3.2;20.4;23.4;8.682739153
33;COCC1=CC=CC=C1.[CH2]OCC2=CC=CC=C2;85.3;-9.6;3.5;18.2;18;13.46432268
34;O=C(NC)C1=CC=CC=C1.O=C(N[CH2])C2=CC=CC=C2;82.9;-12;3.7;16.8;17.9;12.19946019
35;CC(NC1=CC=CC=C1)=O.[CH2]C(NC2=CC=CC=C2)=O;87.7;-7.2;5.3;6.2;18.4;15.95741489
36;CC(NC)=O.CC(N[CH2])=O;84.2;-10.7;3.7;16.5;19.7;12.35372223
37;CC(NC)=O.[CH2]C(NC)=O;89.1;-5.8;5.4;5.6;21.1;18.6832035
38;CCSCC.CCS[CH]C;83;-11.9;3.1;21.3;21.6;11.52207005
39;C1CCCC1.C2CC[CH]C2;85;-9.9;3.3;20.1;21.3;11.63184602
40;CC1CCCC1.C[C]2CCCC2;87.1;-7.8;3.5;18.4;23.6;11.89906927
41;CC1CCCCC1.C[C]2CCCCC2;84.2;-10.7;3.2;20.9;26.1;10.46040156
42;CC(C)(C)C1CCCCC1.CC(C)(C)[C]2CCCCC2;84.7;-10.2;3.1;22;31.7;12.45646318
43;C[C@@H]1[C@@H](C)CCCC1.C[C]2[C@@H](C)CCCC2;84.6;-10.3;3.2;20.7;28.6;9.635710352
44;C[C@H]1CCCC[C@H]1C.C[C@H]2CCCC[C]2C;83.6;-11.3;3;22.7;24.1;9.559538796
45;C[C@@H]1CC[C@@H](C)CC1.C[C]2CCC(C)CC2;84;-10.9;3.2;20.8;26.1;10.02591992
46;C[C@H]1CC[C@@H](C)CC1.CC2CC[C](C)CC2;82.3;-12.6;3.2;20.8;21.5;10.10722952
47;NCCCN.N[CH]CCN;80.1;-14.8;2.6;26.7;20.1;9.749683738
48;C(N(C)C)=O.C(N(C)[CH2])=O;83.6;-11.3;3.7;16.7;19.5;11.88219301
49;CC(N(C)C)=O.CC(N(C)[CH2])=O;83;-11.9;3.3;19.4;21.4;11.52669291
50;O=CN(CC)CC.O=CN([CH]C)CC;81.0;-13.9;3.2;21.7;21.6;11.06524402
51;CC(N(CC)CC)=O.CC(N(CC)[CH]C)=O;80.8;-14.1;3.1;20.9;21.8;10.89485247
52;CCC(N(C)C)=O.CCC(N(C)[CH2])=O;82.1;-12.8;3.3;19.9;21.4;10.50314504
53;O=C(N(C)C)C(C)C.O=C(N([CH2])C)C(C)C;82.5;-12.5;3.3;19.8;21.5;11.48354783
54;O=C(N(C)C)C(C)(C)C.O=C(N([CH2])C)C(C)(C)C;83.1;-11.8;3.3;19.9;20.3;11.87982667
55;O=C(N(C)C)CC(C)(C)C.O=C(N([CH2])C)CC(C)(C)C;82;-12.9;3.3;19.8;21;11.23067072
