,rxn_id,G_r,DG_TS,DG_TS_tunn,dG_rxn,dG_forward,dG_reverse,fr_dG_rxn,fr_dG_forward,fr_dG_reverse,s_prod0,q_reac1,s_reac1,qH_reac0,qH_prod1,q_reac0,q_prod1,q_prod0,BV_reac1,BV_prod0
310,214104,-1.2936477723666755,25.738142359014304,23.46250704244257,0.6265443504603354,85.24853663449817,84.62199228403783,0.2987113717771166,124.26684386340057,123.96813249162345,0.9113071,-0.046832718,0.9307777,0.11254635,0.1284263,-0.067916214,-0.08212854,-0.061717264,0.3947568168205569,0.3814845004555921
529,196582,8.02472061374859,24.07436366344136,22.884365506985244,6.949123883853787,106.53473259096648,99.5856087071127,4.106386580867053,137.78348018446627,133.67709360359922,1.0049933,-0.056896213,1.0016314,0.16391638,0.13976246,-0.16572091,-0.19773524,-0.044590108,0.5156948404579945,0.48238546559664763
912,70055,-0.2590903825576426,23.479191103926663,21.814034725674745,-0.36127887057811847,87.95217498234116,88.31345385291928,-0.2936246951588828,131.4680524018558,131.76167709701468,1.0470506,-0.21213962,1.0352032,0.13910405,0.14191477,-0.2735794,-0.29274672,-0.21586049,0.4380069472994108,0.4442963465612293
609,298133,6.922892032631953,24.695664401374017,23.269660390099443,9.744597194679343,98.83026087805138,89.08566368337203,-5.071704598383533,120.435202322158,125.50690692054154,0.21578643,-0.35999575,0.86173433,0.2694328,0.2309449,-0.536789,-0.5479336,-0.3563959,0.36606493992964706,0.303780118237365
80,273906,-1.478543548548734,23.0219748968694,21.25917004513857,0.17694111133889123,87.74636874967817,87.56942763833928,-0.21384742515363087,132.06244054004327,132.2762879651969,1.0319743,-0.1575535,1.0053804,0.15503511,0.13432923,-0.31844676,-0.22919989,-0.24627891,0.47282179983390227,0.5053088383442733
1421,817417,15.975536816780776,28.60818007865087,28.235788861997968,15.651414231093952,98.55113601724631,82.89972178615236,8.801162591636,136.9300105505197,128.1288479588837,0.9554675,-0.19774914,0.8285583,0.14330044,0.16846466,-0.28570488,-0.33041835,-0.2109723,0.5082978120008905,0.3776198641868628
685,1134578,-12.646749785100637,13.96708953498817,13.353248389447584,-13.427717683723273,85.36798624043804,98.79570392416132,-15.14888799567592,120.65191934694914,135.80080734262506,0.89255244,0.014495262,1.0146016,0.12277096,0.14043824,0.1494658,-0.07950712,0.1470403,0.39023864135011266,0.5743592231304679
19,384454,10.177039200778864,33.667939283654825,31.183322365464207,9.755352859899844,83.54738123683946,73.79202837693961,12.77385815551898,122.28444703114292,109.51058887562394,0.8446946,-0.25610942,0.7134679,0.12778218,0.21971075,0.08438669,-0.30672175,0.072366714,0.5087299175123998,0.5676169653188219
1274,448412,-4.428508194975384,13.509217480951422,12.574284818946309,-5.120665791975426,96.43031208673474,101.55097787871017,-2.858478251324584,132.97943437966046,135.83791263098504,0.9168367,-0.020827362,0.84455055,0.31534362,0.15124519,-0.4521959,-0.09545052,-0.21072593,0.4782779500868132,0.24677690291126544
96,430860,10.659978684789344,30.181302491702365,28.40993315696939,10.191619547415556,93.39583965196479,83.20422010454924,10.190620336019748,138.3634363215496,128.17281598552987,0.9788236,-0.280687,0.71706086,0.16374506,0.14812018,-0.3757826,-0.23161244,-0.33278346,0.4072023401809996,0.38908460822711244
